公投案,縣市,鄉鎮市區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數,投票率(%),有效同意票數對投票權人數百分比(%)
第7案,臺北市,松山區,"72,344","21,698","94,042","5,769","99,811","169,278",58.96%,42.74%
第7案,臺北市,信義區,"80,160","23,245","103,405","6,057","109,462","190,444",57.48%,42.09%
第7案,臺北市,大安區,"104,681","32,294","136,975","7,388","144,363","252,645",57.14%,41.43%
第7案,臺北市,中山區,"78,649","25,050","103,699","7,022","110,721","195,148",56.74%,40.3%
第7案,臺北市,中正區,"54,089","16,359","70,448","4,232","74,680","128,292",58.21%,42.16%
第7案,臺北市,大同區,"42,497","14,769","57,266","4,486","61,752","107,557",57.41%,39.51%
第7案,臺北市,萬華區,"64,385","19,585","83,970","6,622","90,592","164,020",55.23%,39.25%
第7案,臺北市,文山區,"101,174","26,288","127,462","7,798","135,260","227,211",59.53%,44.53%
第7案,臺北市,南港區,"43,217","12,009","55,226","3,158","58,384","101,907",57.29%,42.41%
第7案,臺北市,內湖區,"101,149","28,663","129,812","7,239","137,051","236,824",57.87%,42.71%
第7案,臺北市,士林區,"96,156","31,493","127,649","9,864","137,513","241,854",56.86%,39.76%
第7案,臺北市,北投區,"85,525","25,619","111,144","7,721","118,865","213,250",55.74%,40.11%
第7案,新北市,板橋區,"183,642","54,962","238,604","19,309","257,913","463,411",55.66%,39.63%
第7案,新北市,三重區,"128,111","39,417","167,528","16,104","183,632","329,846",55.67%,38.84%
第7案,新北市,中和區,"146,208","37,338","183,546","12,119","195,665","355,978",54.97%,41.07%
第7案,新北市,永和區,"83,228","20,414","103,642","6,419","110,061","187,798",58.61%,44.32%
第7案,新北市,新莊區,"140,045","41,204","181,249","13,774","195,023","344,981",56.53%,40.59%
第7案,新北市,新店區,"113,797","26,226","140,023","8,228","148,251","264,053",56.14%,43.1%
第7案,新北市,樹林區,"60,667","17,206","77,873","5,482","83,355","152,102",54.8%,39.89%
第7案,新北市,鶯歌區,"27,167","7,924","35,091","2,344","37,435","71,645",52.25%,37.92%
第7案,新北市,三峽區,"35,739","10,099","45,838","3,190","49,028","94,291",52%,37.9%
第7案,新北市,淡水區,"56,960","15,439","72,399","4,367","76,766","147,272",52.13%,38.68%
第7案,新北市,汐止區,"67,547","18,065","85,612","5,665","91,277","173,831",52.51%,38.86%
第7案,新北市,瑞芳區,"12,211","3,277","15,488","1,236","16,724","35,036",47.73%,34.85%
第7案,新北市,土城區,"78,924","22,140","101,064","7,807","108,871","200,783",54.22%,39.31%
第7案,新北市,蘆洲區,"62,988","19,193","82,181","6,888","89,069","167,457",53.19%,37.61%
第7案,新北市,五股區,"27,379","7,871","35,250","2,856","38,106","72,443",52.6%,37.79%
第7案,新北市,泰山區,"26,020","6,947","32,967","2,173","35,140","64,252",54.69%,40.5%
第7案,新北市,林口區,"36,042","9,434","45,476","2,656","48,132","86,203",55.84%,41.81%
第7案,新北市,深坑區,"8,193","2,201","10,394",716,"11,110","20,624",53.87%,39.73%
第7案,新北市,石碇區,"2,358",719,"3,077",309,"3,386","6,861",49.35%,34.37%
第7案,新北市,坪林區,"2,075",535,"2,610",311,"2,921","5,891",49.58%,35.22%
第7案,新北市,三芝區,"6,999","1,927","8,926",704,"9,630","20,119",47.87%,34.79%
第7案,新北市,石門區,"3,899","1,018","4,917",509,"5,426","10,528",51.54%,37.03%
第7案,新北市,八里區,"12,684","3,493","16,177","1,263","17,440","32,970",52.9%,38.47%
第7案,新北市,平溪區,"1,428",412,"1,840",190,"2,030","4,321",46.98%,33.05%
第7案,新北市,雙溪區,"2,739",737,"3,476",373,"3,849","7,999",48.12%,34.24%
